participant_id,track,department,used_ai,baseline_score,followup_score,attendance_hours
P001,Foundation,Design,0,40,52,7
P002,Foundation,Public Health,0,43,54,6
P003,Foundation,Engineering,0,46,59,8
P004,Foundation,Design,0,48,58,5
P005,Foundation,Public Health,0,41,55,8
P006,Foundation,Engineering,0,45,57,7
P007,Foundation,Design,0,49,60,6
P008,Foundation,Public Health,0,44,57,7
P009,Foundation,Engineering,0,47,57,5
P010,Foundation,Design,0,42,56,8
P011,Foundation,Public Health,0,50,62,7
P012,Foundation,Engineering,0,52,63,6
P013,Foundation,Design,0,39,52,8
P014,Foundation,Public Health,0,46,56,5
P015,Foundation,Engineering,0,51,65,7
P016,Foundation,Design,0,43,55,6
P017,Foundation,Public Health,0,48,59,
P018,Foundation,Engineering,0,45,58,7
P019,Foundation,Design,0,54,64,6
P020,Foundation,Public Health,0,47,61,8
P021,Foundation,Engineering,1,42,58,8
P022,Foundation,Design,1,46,61,7
P023,Foundation,Public Health,1,50,68,8
P024,Foundation,Engineering,1,53,70,7
P025,Advanced,Design,0,70,72,5
P026,Advanced,Public Health,0,73,76,6
P027,Advanced,Engineering,0,77,81,5
P028,Advanced,Design,0,80,83,4
P029,Advanced,Public Health,1,68,74,7
P030,Advanced,Engineering,1,71,78,8
P031,Advanced,Design,1,74,79,6
P032,Advanced,Public Health,1,76,84,7
P033,Advanced,Engineering,1,79,85,8
P034,Advanced,Design,1,82,89,6
P035,Advanced,Public Health,1,84,89,7
P036,Advanced,Engineering,1,69,77,8
P037,Advanced,Design,1,72,78,6
P038,Advanced,Public Health,1,75,82,7
P039,Advanced,Engineering,1,78,83,
P040,Advanced,Design,1,81,89,8
P041,Advanced,Public Health,1,83,89,6
P042,Advanced,Engineering,1,70,77,7
P043,Advanced,Design,1,73,78,6
P044,Advanced,Public Health,1,77,85,8
P045,Advanced,Engineering,1,80,86,7
P046,Advanced,Design,1,85,92,6
P047,Advanced,Public Health,1,74,79,7
P048,Advanced,Engineering,1,82,90,8

